Product Image,Products Name,"Product Link (If the link does not work, please contact your CJ Agent)",SPU,Lists,Product Original Price ($),Product Unit Price After Discount ($),Shipping From,Verified Inventories,Unverified Inventories,Ship To,Logistics Cost Original Price ($),Logistics Cost After Discount ($),Customs Duty ($),Customs Clearance Fee ($),Total Amount Original Price ($),Total Amount After Discount ($),SKU Image,SKU,Specification Attribute 1,Specification Attribute Value 1,Specification Attribute 2,Specification Attribute Value 2,Specification Attribute 3,Specification Attribute Value 3,Variant Verified Inventories,Variant Unverified Inventories,SKU Unit Price Original Price ($),SKU Unit Price After Discount ($),Shipping Method,Delivery Time,Logistics Cost Original Price ($),Logistics Cost After Discount ($),Customs Duty ($),Customs Clearance Fee ($),Total Amount Original Price ($),Total Amount After Discount ($)
https://oss-cf.cjdropshipping.com/product/2024/09/09/08/4934d1b2-5550-47aa-8ba8-4229de7188b2.jpg,Halloween Silicone Ghost Shaped Bedside Lamp With Touch Control Soft Glow For Water-resistant Decoration,https://www.cjdropshipping.com/product/halloween-silicone-ghost-shaped-bedside-lamp-with-touch-control-soft-glow-for-water-resistant-decoration-p-2408150326541603800.html,CJJT2110968,517,4.46,4.46,CN,0,12577,,,,0.00,0.00,4.46,4.46,https://oss-cf.cjdropshipping.com/product/2024/08/15/03/e7c8967f-0d76-4238-9de9-322f69bbfc40_trans.jpeg,CJJT211096801AZ,Light Source Power,0.5W,Light Color,Light Yellow,,,0,12577,4.46,4.46,,,,,0.00,0.00,4.46,4.46
https://oss-cf.cjdropshipping.com/product/2024/09/09/08/4934d1b2-5550-47aa-8ba8-4229de7188b2.jpg,Halloween Silicone Ghost Shaped Bedside Lamp With Touch Control Soft Glow For Water-resistant Decoration,https://www.cjdropshipping.com/product/halloween-silicone-ghost-shaped-bedside-lamp-with-touch-control-soft-glow-for-water-resistant-decoration-p-2408150326541603800.html,CJJT2110968,517,4.46,4.46,CN_US,0,12577,,,,0.00,0.00,4.46,4.46,https://oss-cf.cjdropshipping.com/product/2024/08/15/03/e7c8967f-0d76-4238-9de9-322f69bbfc40_trans.jpeg,CJJT211096801AZ,Light Source Power,0.5W,Light Color,Light Yellow,,,0,0,4.46,4.46,,,,,0.00,0.00,4.46,4.46
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/af91a2cd-4cda-4881-af8a-68332cc05220_trans.jpeg,CJYD222242301AZ,Light Source Power,6W,Light Color,Brushed Black,,,0,12989,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN_US,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/af91a2cd-4cda-4881-af8a-68332cc05220_trans.jpeg,CJYD222242301AZ,Light Source Power,6W,Light Color,Brushed Black,,,0,0,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/ccab1b7d-db44-4a0b-a24e-be9545d45c64_trans.jpeg,CJYD222242302BY,Light Source Power,6W,Light Color,Brushed Gold,,,0,14876,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN_US,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/ccab1b7d-db44-4a0b-a24e-be9545d45c64_trans.jpeg,CJYD222242302BY,Light Source Power,6W,Light Color,Brushed Gold,,,0,0,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/49d5935c-b8ea-4e3b-b0fd-c7f558502a22_trans.jpeg,CJYD222242303CX,Light Source Power,6W,Light Color,Brushed Coffee Gold,,,0,11263,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN_US,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/49d5935c-b8ea-4e3b-b0fd-c7f558502a22_trans.jpeg,CJYD222242303CX,Light Source Power,6W,Light Color,Brushed Coffee Gold,,,0,0,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/c28212cf-499f-4250-8295-4d1596e8f423_trans.jpeg,CJYD222242304DW,Light Source Power,6W,Light Color,Too Empty Gray,,,0,12927,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN_US,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/c28212cf-499f-4250-8295-4d1596e8f423_trans.jpeg,CJYD222242304DW,Light Source Power,6W,Light Color,Too Empty Gray,,,0,0,30.85,30.85,,,,,0.00,0.00,30.85,30.85
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/8f40bdef-6c72-4366-8e93-746785f13899_trans.jpeg,CJYD222242305EV,Light Source Power,6W,Light Color,Modern White,,,0,14158,28.03,28.03,,,,,0.00,0.00,28.03,28.03
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN_US,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2024/11/24/03/8f40bdef-6c72-4366-8e93-746785f13899_trans.jpeg,CJYD222242305EV,Light Source Power,6W,Light Color,Modern White,,,0,0,28.03,28.03,,,,,0.00,0.00,28.03,28.03
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2026/07/20/04/c5ee4d75-4a8d-4928-a0e3-6604be89a69a_trans.jpeg,CJYD222242312LO,Light Source Power,7W,Light Color,White seesaw,,,0,5196,6.15,6.15,,,,,0.00,0.00,6.15,6.15
https://cf.cjdropshipping.com/quick/product/d544c414-9753-4e52-890c-f2035f164503.jpg,Simple Bedside Lamp Round Aisle Wall Lamp,https://www.cjdropshipping.com/product/simple-bedside-lamp-round-aisle-wall-lamp-p-2411240310211622700.html,CJYD2222423,38,6.15 -- 30.85,6.15 -- 30.85,CN_US,0,71409,,,,0.00,0.00,6.15-30.85,6.15-30.85,https://oss-cf.cjdropshipping.com/product/2026/07/20/04/c5ee4d75-4a8d-4928-a0e3-6604be89a69a_trans.jpeg,CJYD222242312LO,Light Source Power,7W,Light Color,White seesaw,,,0,0,6.15,6.15,,,,,0.00,0.00,6.15,6.15
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/2b6e2fcd-8c09-4275-b43b-b56b89a00d8a.jpg,CJSN243818901AZ,Specifications,Light Source Not Included,Size,Beige Table Lamp,Electrical outlet,US,0,7059,14.26,14.26,,,,,0.00,0.00,14.26,14.26
https://cf.cjdropshipping.com/quick/product/edfd85a3-9225-4063-aaa2-d6ace0ad213e.jpg,Bedroom Bedside Vertical Table Lamp Floor Lamp,https://www.cjdropshipping.com/product/bedroom-bedside-vertical-table-lamp-floor-lamp-p-2507240232361627000.html,CJSN2438189,38,14.26 -- 31.84,14.26 -- 31.84,CN_US,0,249427,,,,0.00,0.00,14.26-31.84,14.26-31.84,https://oss-cf.cjdropshipping.com/product/2025/07/24/02/2b6e2fcd-8c09-4275-b43b-b56b89a00d8a.jpg,CJSN243818901AZ,Specifications,Light Source Not Included,Size,Beige Table Lamp,Electrical outlet,US,0,0,14.26,14.26,,,,,0.00,0.00,14.26,14.26
